tachometer_signal,underhang_bearing_axial,underhang_bearing_radial,underhang_bearing_tangential,overhang_bearing_axial,overhang_bearing_radial,overhang_bearing_tangential,microphone
-0.62877,0.19302,0.3392,0.38053,-2.6186,-0.064606,-0.95211,0.18779
-0.61961,-2.5762,-0.51833,-0.93604,0.44061,-0.043345,-1.7232,0.085111
-0.8605,2.0201,0.38876,-0.13878,-2.9019,-0.09498,1.6545,0.026262
-0.62083,0.85905,0.87785,0.097373,-3.2188,-0.11427,0.19056,0.0030925
-0.60059,-2.3255,0.23347,-0.099045,1.5284,-0.03472,-2.084,-0.13439
-0.59295,1.9492,-0.20228,0.30395,-3.5195,-0.055198,0.26995,-0.11198
-0.33497,-1.0726,-0.32712,0.31506,-0.21367,-0.093632,0.88673,-0.1398
-0.57189,-1.4804,0.58429,-0.10871,-0.65713,-0.047446,-2.1321,0.0086659
-0.59493,0.011281,-0.093062,0.33598,-3.4615,-0.011161,-0.63993,0.11359
-0.58648,-2.9243,-0.71184,-0.7326,3.2349,0.1352,1.5006,0.09234
-0.7652,0.91225,0.052211,0.2051,-2.3786,-0.091457,-0.85961,0.17076
-0.74459,-1.0055,-1.614,-0.25233,0.15209,0.012558,-1.7696,0.16462
-0.54004,1.2491,-0.94877,-0.55006,1.7227,-0.011289,1.7956,0.083359
-0.56433,1.5044,1.2229,0.61514,-3.4523,-0.062033,-0.57415,-0.00089892
-0.37504,-1.2286,0.60746,-0.18673,1.0141,-0.08812,-2.6972,-0.050451
-0.45895,2.8877,1.421,0.1187,-2.1914,-0.026011,1.089,-0.11653
-0.582,-0.62538,0.65053,0.24916,-1.1495,-0.10804,0.24302,-0.12629
-0.55417,-0.68849,-0.19189,-0.090908,0.97934,0.025573,-1.6953,-0.082309
-0.75038,0.23314,-0.45806,-0.19707,-2.1247,-0.054248,-0.46596,-0.019225
-0.72077,-1.2565,-0.55979,-0.29918,1.7198,-0.045552,0.84109,0.06384
-0.60896,-0.49109,0.25427,0.20573,-1.4048,-0.048042,-0.85377,-0.0043306
-0.53591,-0.861,-1.3536,-0.31458,0.32733,-0.04631,-1.4301,0.032979
-0.52548,1.6883,-0.061071,-0.27328,1.6,-0.05668,1.9257,0.069024
-0.34575,0.87388,0.80399,0.83503,-2.5704,0.001828,-0.89654,0.040524
-0.50232,0.19545,-0.065413,-0.56282,2.4041,0.088631,-1.5852,0.00068305
-0.52877,3.9642,0.19191,0.44995,-1.9914,-0.025812,2.1274,-0.085911
-0.52649,0.17575,0.094808,0.14524,2.8176,0.17095,0.62655,-0.1113
4.5371,-0.15204,0.47318,-0.077593,-0.16402,-0.037723,-1.1812,-0.094794
4.517,-0.73167,-0.54842,-0.15482,-1.0023,-0.060916,-0.23909,-0.038817
4.5005,-1.9972,0.39065,-0.067644,3.5516,0.26704,1.6624,0.01385
4.4822,-1.1227,0.011206,0.4913,-1.9941,0.018462,-1.1421,0.10332
-0.29814,-1.6672,-0.50511,-0.21098,1.076,-0.0058602,-0.60265,0.14708
-0.44489,0.96294,-0.11375,0.11947,0.62142,-0.017161,1.3972,0.18611
-0.64928,1.1811,0.4806,0.50224,-2.0669,-0.056225,-0.019426,0.10614
-0.63463,-3.0659,-0.10288,-0.24743,1.2922,0.0041254,-1.8572,0.017525
-0.84477,2.268,1.0321,-0.17246,-2.7518,-0.083396,1.1486,-0.017497
-0.7392,0.91433,0.8186,-0.11932,-1.7576,-0.088023,1.0448,-0.11728
-0.62686,-2.6855,0.39571,0.07312,2.4678,0.13269,-1.5983,-0.12746
-0.60519,1.2724,-0.51684,0.40024,-2.8519,0.012789,0.67978,-0.074229
-0.60299,-1.1033,0.29219,0.49725,1.9122,-0.037742,1.5994,-0.028401
-0.39017,-1.39,0.16631,-0.034309,-1.8354,-0.10939,-1.8524,0.13364
-0.54415,-0.18286,-0.64351,0.45498,-2.3807,0.0067438,-0.9461,0.11441
-0.60291,-1.1164,-1.4496,-0.61116,3.6569,0.1727,1.4932,0.14199
-0.5905,2.4075,0.99591,0.29258,-0.75566,-0.054049,-0.65229,0.034975
-0.71161,-0.36473,-0.29122,-0.45695,1.005,0.022159,-1.6196,0.10723
-0.61805,1.5852,0.6856,-0.40755,1.4023,-0.068899,2.174,-0.0039412
-0.57582,1.4967,0.93916,0.67246,-1.7431,-0.060223,0.21678,-0.065516
-0.56591,-0.42802,0.28532,-0.26184,1.7026,0.024969,-1.7619,-0.089757
-0.3708,2.3652,0.33238,0.050525,-0.25525,-0.026351,1.3314,-0.12091
-0.52879,-1.7315,-0.37891,-0.09024,0.86486,-0.068617,0.84575,-0.11777
-0.56112,-1.5169,-0.33323,0.021814,1.7418,0.095947,-0.28678,0.0078627
-0.55875,-1.0367,-0.87411,-0.055543,-0.3242,0.022948,0.12981,0.021346
-0.74061,-1.2728,-0.86917,-0.36809,3.2358,0.20182,1.6703,0.15116
-0.63742,0.6681,0.13719,0.51752,-1.758,-0.03307,-0.69686,0.040889
-0.53683,-1.0485,-1.019,-0.25578,1.746,0.023737,-1.0088,0.13386
-0.53471,3.1337,0.33128,-0.093522,1.6898,-0.027924,2.0707,0.0007804
-0.46983,0.87605,0.79503,0.58507,-0.75753,-0.042793,-0.00028842,-0.0074945
-0.486,-0.049927,-0.57939,-0.17344,2.6619,0.19116,-1.2004,-0.076273
-0.55535,3.2141,-1.0795,0.48803,-1.7706,-0.010121,0.92273,-0.11086
-0.29143,-0.34097,0.14256,0.53828,3.0619,0.21748,1.3715,-0.083064
4.5259,-0.7408,0.7235,0.027055,-0.020932,-0.0029916,-1.3523,-0.073791
4.5138,-1.3011,-0.94392,0.077379,0.44411,0.0059416,-0.13667,0.11344
4.4926,-1.3643,-0.17966,-0.25425,3.1474,0.19427,1.1362,0.11933
-0.63544,-0.52903,0.077245,0.50126,-1.3035,-0.038962,-0.32376,0.24221
-0.63492,-0.59176,-1.4844,-0.27419,1.6156,-0.022802,-0.75943,0.049992
-0.43138,1.314,0.21416,-0.054432,-1.4028,-0.085758,1.3308,0.17166
-0.66846,1.4252,1.1541,0.26431,-2.2481,-0.025023,-0.32282,0.039283
-0.62298,-1.6742,-0.1329,-0.48064,1.8812,0.032279,-1.5881,-0.022998
-0.62569,2.3561,0.26077,-0.10434,-2.0526,0.0040099,1.4827,-0.073158
-0.64221,-0.18255,0.36381,0.12472,-1.53,-0.028437,1.031,-0.15997
-0.65858,-2.7375,0.40487,0.094566,1.7558,0.044928,-1.7823,-0.066903
-0.60022,-0.010451,-0.66181,0.33905,-3.5216,-0.036594,-0.12308,0.093289
-0.59164,-2.4396,-0.92514,-0.13583,1.9693,-0.016186,1.438,0.12023
-0.44748,-0.84853,-0.24816,0.082279,-2.3411,-0.11531,-2.2913,0.17331
-0.45409,1.0505,-0.29142,0.46056,-0.79891,0.013489,-0.57512,0.18743
-0.60505,-0.63524,-1.1904,-0.50851,3.2279,0.13231,1.9066,0.17163
-0.59932,2.3772,0.67031,0.34537,-1.7665,-0.035438,-0.52677,0.061138
-0.81425,0.058316,-0.62088,-0.4859,0.83944,-0.024548,-1.9767,-0.00016878
-0.58076,1.9033,0.53303,-0.47064,0.75157,-0.021904,1.9965,-0.0606
-0.56869,1.0671,1.0497,0.384,-2.5419,-0.06922,0.34982,-0.11872
-0.56427,-1.2677,0.2917,-0.0025285,2.1947,0.10187,-1.4103,-0.091338
-0.39406,1.641,0.1437,-0.025606,-1.534,-0.060678,0.25272,-0.039913
