-0.67602,0.28398,0.77065,-0.89259,-8.5434,0.029802,-2.5409,0.028209
-0.66374,-0.68917,1.182,-1.6066,-8.7242,0.032138,-2.7044,-0.075738
-0.66974,0.32192,1.7074,-2.0034,-8.6908,0.028698,-3.1968,-0.0077865
-0.67244,-0.66679,1.6479,-2.1423,-8.8552,0.023776,-3.3825,-0.0081516
-0.66304,0.35763,2.3042,-2.0223,-8.7139,0.023416,-3.4892,-0.054807
-0.67722,-0.19018,1.9657,-1.7011,-8.5524,0.019245,-3.6631,0.037044
-0.66682,0.38839,2.6756,-1.3228,-8.4821,0.023891,-3.6654,-0.089367
-0.67082,0.36491,2.19,-0.91795,-8.2987,0.025265,-3.864,0.020494
-0.67363,0.00079385,2.1479,-0.57887,-8.2522,0.027222,-3.8212,-0.076906
-0.66576,0.50217,1.3428,-0.30084,-8.294,0.033242,-3.655,0.017428
-0.67533,-0.19181,0.77357,-0.1676,-8.612,0.03518,-3.375,-0.040351
-0.66511,0.89397,0.43777,-0.1655,-8.6202,0.039248,-2.8329,-0.033804
-0.67132,0.30652,-0.42921,-0.35387,-8.7129,0.039794,-2.4032,-0.028255
-0.67267,0.99132,-0.24975,-0.64765,-8.6955,0.043343,-2.21,-0.061281
-0.66436,0.30209,-1.1765,-1.1028,-8.4021,0.046109,-2.2783,0.016576
-0.67717,0.26758,-1.2387,-1.2162,-8.1371,0.051467,-2.2826,-0.085497
-0.66434,0.72739,-2.109,-0.96564,-7.9767,0.04754,-2.4084,-0.0014587
-0.67406,0.32887,-2.2231,-0.60235,-7.6562,0.044145,-2.5629,-0.095525
-0.66746,1.2581,-2.3317,-0.26925,-7.2953,0.05019,-2.8332,0.016016
-0.66972,0.90667,-2.1697,-0.092276,-7.1239,0.052571,-3.0885,-0.050427
-0.67164,1.9885,-1.2093,0.14163,-7.0047,0.06042,-3.102,-0.035921
-0.67021,1.4292,-1.2432,0.16901,-6.6825,0.060997,-3.1346,-0.037138
-0.66389,1.9731,-0.25765,-0.0045582,-6.6188,0.066683,-2.792,-0.080362
-0.67649,1.7484,-0.84504,-0.32293,-6.5914,0.065169,-2.3158,0.013168
-0.65459,1.6612,0.25292,-0.55597,-6.4186,0.067678,-1.6553,-0.12371
-0.68042,1.935,0.5266,-0.72014,-6.0882,0.064675,-1.0221,0.049505
-0.65384,0.81923,1.0196,-0.60717,-5.7353,0.066446,-0.60848,-0.10691
-0.65924,1.4783,1.2455,-0.24553,-5.1827,0.07097,-0.18893,0.015651
-0.64605,0.35953,0.40583,0.36097,-4.6276,0.07174,-0.11893,-0.078561
-0.66109,1.2357,0.97032,0.8398,-4.2499,0.073775,-0.15443,-0.046192
-0.40968,0.59942,0.28732,1.0866,-3.8184,0.072863,-0.39966,-0.017522
-0.6064,1.0145,1.4504,1.1118,-3.4585,0.073749,-0.69461,-0.1083
-0.24064,0.89942,0.87946,0.92387,-3.0973,0.070059,-0.87445,0.047996
-0.68896,0.32018,1.49,0.45982,-2.8389,0.068993,-0.95163,-0.11928
-0.53167,0.90693,1.3955,-0.11837,-2.2523,0.069699,-0.70879,0.034002
-0.27431,-0.13816,1.541,-0.86448,-1.7559,0.068981,-0.36151,-0.10516
-0.66084,0.98348,2.2797,-1.4186,-1.0496,0.070027,0.098281,0.0015835
-0.42879,-0.2038,2.1735,-1.6708,-0.38555,0.07244,0.2782,-0.044853
-0.65687,0.73018,3.4225,-1.5968,0.36198,0.069205,0.49559,-0.062109
-0.39283,0.15605,2.7797,-1.4819,0.98928,0.043965,0.54804,0.018863
-0.36303,0.25812,3.4313,-1.3383,1.5651,0.050126,0.51412,-0.10891
-0.53808,0.73799,2.6508,-1.2775,2.2079,0.043118,0.40595,0.05004
-0.3684,0.33727,2.8553,-1.2482,2.6267,0.038074,0.02048,-0.11899
-0.63974,1.5253,2.6529,-1.2177,3.0976,0.032497,-0.29097,0.036679
-0.32761,0.47365,2.0458,-1.2705,3.3187,0.026028,-0.49064,-0.080971
